adm_0_name,desired_order
Canada,1
United States of America,2
Belize,3
Costa Rica,4
El Salvador,5
Guatemala,6
Honduras,7
Mexico,8
Nicaragua,9
Panama,10
Bolivia,11
Colombia,12
Ecuador,13
Peru,14
Venezuela,15
Argentina,16
Brazil,17
Chile,18
Paraguay,19
Uruguay,20
Cuba,21
Dominican Republic,22
Puerto Rico,23
Anguilla,24
Antigua and Barbuda,25
Aruba,26
Bahamas,27
Barbados,28
Bermuda,29
"Bonaire, Saint Eustatius and Saba",30
Cayman Islands,31
Curacao,32
Dominica,33
French Guiana,34
Grenada,35
Guadeloupe,36
Guyana,37
Haiti,38
Jamaica,39
Martinique,40
Montserrat,41
Saint Barthelemy,42
Saint Kitts and Nevis,43
Saint Lucia,44
Saint Martin,45
Saint Vincent and the Grenadines,46
Sint Maarten,47
Suriname,48
Trinidad and Tobago,49
Turks and Caicos Islands,50
Virgin Islands (UK),51
Virgin Islands (US),52
